SplitBy,TRUE,Men On After Play,Men On After Play_Sort,entityKey,Loaded,1st&3rd,2nd&3rd,1st&2nd,3bOnly,2bOnly,Empty,1bOnly,splitByName
Men On^1,true,Men On,1,Men On,14,99,35,99,42,87,392,220,SplitBy
1B^2,true,1B,2,1B,13,87,33,87,39,78,358,202,SplitBy
2B^3,true,2B,3,2B,13,92,5,92,3,11,31,208,SplitBy
3B^4,true,3B,4,3B,13,92,26,92,3,68,3,25,SplitBy
1 On^5,true,1 On,5,1 On,1,5,7,5,39,17,392,5,SplitBy
2 On^6,true,2 On,6,2 On,1,16,27,16,3,70,0,215,SplitBy
Loaded^7,true,Loaded,7,Loaded,12,78,1,78,0,0,0,0,SplitBy
RISP^8,true,RISP,8,RISP,14,98,29,98,6,79,34,219,SplitBy
1B Only^9,true,1B Only,9,1B Only,0,1,6,1,36,8,358,1,SplitBy
2B Only^10,true,2B Only,10,2B Only,0,1,1,1,3,9,31,1,SplitBy
3B Only^11,true,3B Only,11,3B Only,1,3,0,3,0,0,3,3,SplitBy
1st and 2nd^12,true,1st and 2nd,12,1st and 2nd,1,5,2,5,0,2,0,193,SplitBy
1st and 3rd^13,true,1st and 3rd,13,1st and 3rd,0,3,24,3,3,68,0,8,SplitBy
2nd and 3rd^14,true,2nd and 3rd,14,2nd and 3rd,0,8,1,8,0,0,0,14,SplitBy
