SplitBy,TRUE,Men On After Play,Men On After Play_Sort,entityKey,Loaded,1st&3rd,2nd&3rd,1st&2nd,3bOnly,2bOnly,Empty,1bOnly,splitByName
Empty^0,true,Empty,0,Empty,0,1,0,1,3,2,709,3,SplitBy
Men On^1,true,Men On,1,Men On,4,1853,18,1853,3,738,1,2737,SplitBy
1B^2,true,1B,2,1B,2,434,3,434,0,37,0,443,SplitBy
2B^3,true,2B,3,2B,4,1835,9,1835,0,84,0,2331,SplitBy
3B^4,true,3B,4,3B,4,1494,15,1494,3,636,1,15,SplitBy
1 On^5,true,1 On,5,1 On,0,7,9,7,3,721,1,2685,SplitBy
2 On^6,true,2 On,6,2 On,2,1782,9,1782,0,15,0,52,SplitBy
Loaded^7,true,Loaded,7,Loaded,2,64,0,64,0,2,0,0,SplitBy
RISP^8,true,RISP,8,RISP,4,1853,17,1853,3,718,1,2346,SplitBy
1B Only^9,true,1B Only,9,1B Only,0,0,1,0,0,20,0,391,SplitBy
2B Only^10,true,2B Only,10,2B Only,0,1,2,1,0,78,0,2279,SplitBy
3B Only^11,true,3B Only,11,3B Only,0,6,6,6,3,623,1,15,SplitBy
1st and 2nd^12,true,1st and 2nd,12,1st and 2nd,0,358,0,358,0,4,0,52,SplitBy
1st and 3rd^13,true,1st and 3rd,13,1st and 3rd,0,12,2,12,0,11,0,0,SplitBy
2nd and 3rd^14,true,2nd and 3rd,14,2nd and 3rd,2,1412,7,1412,0,0,0,0,SplitBy
